spec_id,class_token,class_name,spec_name,source_key,role,agility,armor,armorPenetration,attackPower,block,blockValue,critRating,defense,dodge,expertise,hasteRating,healingPower,hitRating,intellect,mp5,parry,rangedAttackPower,rangedDps,shieldBlockValue,spellDamage,spellPenetration,spellPower,spirit,stamina,strength,weaponDps
16,FLESHWARDEN,Knight of Xoroth,Hellfire,Knight of Xoroth|Hellfire,hybrid,0.585,,0.3,0.75,,,0.831,,,0.5,0.6,,0.5,1.163,,,,,,1,,1,,,2.2,14
17,FLESHWARDEN,Knight of Xoroth,Defiance,Knight of Xoroth|Defiance,tank,1.127,0.2,0.15,1,0.75,0.24,0.376,1.05,0.9,0.5,0.35,,0.5,0.064,,0.9,,,0.2,0.75,,0.75,,1.06,2.549,14
18,FLESHWARDEN,Knight of Xoroth,War,Knight of Xoroth|War,melee,0.721,,0.45,1,,,1.024,,,0.5,0.6,,,,,,,,,,,,,,2.398,14
19,GUARDIAN,Guardian,Gladiator,Guardian|Gladiator,melee,0.592,,0.45,1,,,0.764,,,0.5,0.6,,,,,,,,,,,,,,2.464,14
20,GUARDIAN,Guardian,Inspiration,Guardian|Inspiration,support,0.444,,0.25,1,,,0.6,,,0.5,0.55,,0.5,,,,,,,,,,,,2.16,
21,GUARDIAN,Guardian,Vanguard,Guardian|Vanguard,tank,1,0.3,0.15,1,0.75,0.31,0.35,1.05,0.9,0.5,0.35,,0.5,,,0.9,,,0.2,,,,,3,2,14
22,MONK,Templar,Oathkeeper,Templar|Oathkeeper,tank,2.872,0.4,0.15,1,,,0.35,1.05,0.9,0.5,0.35,,0.5,0.2,,0.9,,,,,,,,1.05,1.333,14
23,MONK,Templar,Zealot,Templar|Zealot,hybrid,1.844,,0.3,1,,,0.678,,,0.5,0.6,,,0.091,,,,,,1,,1,,,1.365,14
24,MONK,Templar,Crusader,Templar|Crusader,hybrid,1.713,,0.3,1,,,0.739,,,0.5,0.6,,,0.215,,,,,,1,,1,,,1.05,14
25,SONOFARUGAL,Blood Mage,Fleshweaver,Bloodmage|Fleshweaver,support,,,,,,,0.5,,,,0.6,1,,0.091,,,,,,1,,1,0.621,,,
26,SONOFARUGAL,Blood Mage,Sanguine,Bloodmage|Sanguine,caster,,,,,,,0.9,,,,0.6,,,0.165,,,,,,1,,1,0.27,0.27,,
27,SONOFARUGAL,Blood Mage,Accursed,Bloodmage|Accursed,hybrid,1.866,,0.3,1,,,0.653,,,0.5,0.6,,0.5,0.119,,,,,,0.75,,0.75,,,1.323,14
28,RANGER,Ranger,Archery,Ranger|Archery,hybrid,1.445,,0.3,1,,,0.631,,,,0.6,,0.5,0.054,,,1,0,,0.15,,0.15,,,,0
29,RANGER,Ranger,Farstrider,Ranger|Farstrider,support,1.39,,0.2,1,,,0.53,,,,0.55,,0.5,,,,1,0,,,,,,,,
30,RANGER,Ranger,Brigand,Ranger|Brigand,melee,1.567,,0.45,1,,,0.705,,,0.5,0.6,,0.5,,,,,,,,,,,,1,14
31,CHRONOMANCER,Chronomancer,Time,Chronomancer|Time,healer,,,,,,,0.5,,,,0.65,1,,0.064,,,,,,1,,1,0.575,,,
32,CHRONOMANCER,Chronomancer,Infinite,Chronomancer|Infinite,caster,,,,,,,0.75,,,,0.6,,,0.096,,,,,,1,,1,0.46,,,
33,CHRONOMANCER,Chronomancer,Artificer,Chronomancer|Artificer,caster,1.1,,0,1,,,0.7,,,,0.9,,0,0.1,,,1,14,,0.7,0.5,0.7,1.5,,,0
34,NECROMANCER,Necromancer,Death,Necromancer|Death,caster,,,,,,,0.63,,,,0.6,,,0.054,,,,,,1,,1,,,,
35,NECROMANCER,Necromancer,Animation,Necromancer|Animation,caster,,,,,,,0.6,,,,0.6,,0.5,0.051,,,,,,1,,1,,,,
36,NECROMANCER,Necromancer,Rime,Necromancer|Rime,caster,,,,,,,0.9,,,,0.6,,,0.415,,,,,,1,,1,,,,
37,PYROMANCER,Pyromancer,Flameweaving,Pyromancer|Flameweaving,healer,,,,,,,0.9,,,,0.65,1,,0.129,,,,,,1,,1,2.182,,,
38,PYROMANCER,Pyromancer,Incineration,Pyromancer|Incineration,caster,,,,,,,1.242,,,,0.6,,0.5,0.345,,,,,,1,,1,,,,
39,PYROMANCER,Pyromancer,Draconic,Pyromancer|Draconic,caster,,,,,,,1.614,,,,0.6,,0.5,0.218,,,,,,1,,1,,,,
40,CULTIST,Cultist,Heretic,Cultist|Heretic,hybrid-healer,,,0.2,1,,,3,,,,0.4,0,,0.104,,,,0,,0.4,,0.4,,,1,14
41,CULTIST,Cultist,Corruption,Cultist|Corruption,caster,,,,,,,0.9,,,,0.6,,,0.507,,,,,,1,,1,,,,
42,CULTIST,Cultist,Godblade,Cultist|Godblade,hybrid,,,0.3,1,,,0.797,,,0.5,0.6,,0.5,1.271,,,,,,0.25,,0.25,,,2.268,14
43,STARCALLER,Starcaller,Moon Priest,Starcaller|Moon Priest,healer,,,,,,,0.505,,,,0.65,1,,1,,,,,,1,,1,,,,
44,STARCALLER,Starcaller,Sentinel,Starcaller|Sentinel,hybrid,1.366,,0.3,1,,,0.778,,,,0.1,,,2.1,,,1,14,,0.25,,0.25,,,,0
45,STARCALLER,Starcaller,Warden,Starcaller|Warden,hybrid,0.829,,0.3,0.5,,,0.7,,,0,0.6,,,2,,,,0,,1,0.3,1,,,0.55,14
46,SUNCLERIC,Sun Cleric,Piety,Sun Cleric|Piety,caster,,,,,,,1.5,,,,0.6,,,0.21,,,,,,1,,1,,,,
47,SUNCLERIC,Sun Cleric,Valkyrie,Sun Cleric|Valkyrie,hybrid,0.445,,0.3,1,,,0.625,,,0.5,0.6,,,0.088,,,,,,0.25,,0.25,,,2.4,14
48,SUNCLERIC,Sun Cleric,Seraphim,Sun Cleric|Seraphim,tank,1.32,0.256,0.15,0.5,0.75,0.2,0.363,1.05,0.9,0.5,0.35,,0.5,0.697,,0.9,,,0.2,1,,1,,1.15,2.771,14
49,TINKER,Tinkerer,Demolition,Tinker|Demolition,hybrid,1.878,,0.3,1,,,0.644,,,,0.6,,,1.205,,,1,14,,1,,1,,,,
50,TINKER,Tinkerer,Mechanics,Tinker|Mechanics,hybrid,1.375,,0.3,1,,,0.705,,,,0.6,,,1.219,,,1,14,,0.15,,0.15,,,,
51,TINKER,Tinkerer,Invention,Tinker|Invention,healer,,,,,,,0.5,,,,0.65,1,,0.442,,,,14,,1,,1,,,,
52,PROPHET,Venomancer,Fortitude,Venomancer|Fortitude,tank,2.529,0.34,0.15,0.5,,,0.357,1.05,0.9,0,0.35,,0,0.05,,0.9,,,,1,,1,,1,0.8,14
53,PROPHET,Venomancer,Stalking,Venomancer|Stalking,hybrid,0.4,,0,0.2,,,1,,,0.5,0.8,,,1,,,,0,,1,0.5,1,,,0,0
54,PROPHET,Venomancer,Rot,Venomancer|Rotweaver,caster,,,,,,,1.2,,,,0.6,,0.5,0.575,,,,,,1,,1,,,,
55,REAPER,Reaper,Soul,Reaper|Soul,melee,0.485,,0.45,1,,,0.689,,,0.5,0.6,,,,,,,,,,,,,,2.2,14
56,REAPER,Reaper,Harvest,Reaper|Harvest,melee,0.471,,0.45,1,,,0.67,,,0.5,0.6,,0.5,,,,,,,,,,,,2.347,14
57,REAPER,Reaper,Domination,Reaper|Domination,tank,1.53,0.37,1.35,1,,,0.35,1.05,0.9,0.5,0.35,,0.5,,,0.9,,,,,,,,1.2,2.596,14
58,WILDWALKER,Primalist,Grovekeeper,Primalist|Grovekeeper,support,0.374,,0.2,1,,,0.5,,,,0.6,1,,0.093,,,,,,0.25,,0.25,,,2.2,14
59,WILDWALKER,Primalist,Wildwalker,Primalist|Wildwalker,melee,0.486,,0.45,1,,,0.65,,,0.5,0.6,,,,,,,,,,,,,,2.2,14
60,WILDWALKER,Primalist,Mountain King,Primalist|Mountain King,tank,0.8,,,1,,,0.5,1.5,1.2,1.5,1.5,,1.1,,,2,,,,,,0.5,,2,4,10
61,SPIRITMAGE,Runemaster,Engravement,Runemaster|Engravement,hybrid,1.429,,0,1,,,0.2,,,0.5,0.6,,,0.109,,,,0,,0.5,,0.5,,,1.125,14
62,SPIRITMAGE,Runemaster,Glyphic,Runemaster|Glyphic,caster,,,,,,,0.69,,,,0.6,,,0.239,,,,,,1,,1,0.33,,,
63,SPIRITMAGE,Runemaster,Riftblade,Runemaster|Riftblade,hybrid,1.643,,0,1,,,0.2,,,0.5,0.6,,,0.144,,,,0,,0.25,,0.25,,,1,14
95,WILDWALKER,Primalist,Geomancy,Primalist|Geomancy,caster,,,0.6,,,,0.654,,,,0.6,,0.5,1,,,,,,1,,1,,,,
96,CULTIST,Cultist,Dreadnought,Cultist|Dreadnought,tank,,0.255,0.15,1,1.8,0.24,0.35,1.05,0.9,0.5,0.35,,0.5,0.1,,0.9,,,0.2,0.5,,0.5,,1.12,2.531,14
97,WITCHHUNTER,Witch Hunter,Black Knight,Witch Hunter|Black Knight,tank,3.326,0.4,0.15,1,,,0.35,1.05,0.9,0.5,0.35,,0.5,0.27,,0.9,,,,0.75,,0.75,,1,1.225,14
98,SUNCLERIC,Sun Cleric,Blessings,Sun Cleric|Blessings,healer,,,,,,,0.5,,,,0.65,1,,0.436,,,,,,1,,1,,,,
99,SONOFARUGAL,Blood Mage,Eternal,Bloodmage|Eternal,tank,2.967,0.2,0.15,1,,,0.364,1.05,0.9,0.5,0.35,,0.5,0.067,,0.9,,,,0.25,,0.25,,1.08,1.177,14
100,STARCALLER,Starcaller,Moon Guard,Starcaller|Moon Guard,tank,2.147,0.2,0.15,0.75,0.75,0.26,0.354,1.05,0.9,0.5,0.35,,0.5,0.721,,0.9,,,0.2,1,,1,,1.1,2.041,14
101,PROPHET,Venomancer,Vizier,Venomancer|Vizier,healer,,,,,,,0.5,,,,0.65,1,,0.4,,,,,,1,,1,,,,
