category,family,provider,form,rank_index,spell_id,resolved_name,resolved_rank,tooltip,dump_source
strength,markOfKorthazz,FLESHWARDEN,single,3,707342,Mark of Korth'azz,Rank 3,"Mark of Korth'azz / 40 yd range / Instant / Mark an ally with the power of Korth’azz, increasing Strength by 33 and Fire Resistance by 30 for 30 min. / ID 707342",pasted-text.txt
strength,markOfKorthazz,FLESHWARDEN,single,4,707343,Mark of Korth'azz,Rank 4,"Mark of Korth'azz / 40 yd range / Instant / Mark an ally with the power of Korth’azz, increasing Strength by 43 and Fire Resistance by 35 for 30 min. / ID 707343",pasted-text.txt
strength,markOfKorthazz,FLESHWARDEN,single,5,707344,Mark of Korth'azz,Rank 5,"Mark of Korth'azz / 40 yd range / Instant / Mark an ally with the power of Korth’azz, increasing Strength by 61 and Fire Resistance by 43 for 30 min. / ID 707344",pasted-text.txt
strength,markOfKorthazz,FLESHWARDEN,single,6,707345,Mark of Korth'azz,Rank 6,"Mark of Korth'azz / 40 yd range / Instant / Mark an ally with the power of Korth’azz, increasing Strength by 77 and Fire Resistance by 54 for 30 min. / ID 707345",pasted-text.txt
strength,markOfKorthazz,FLESHWARDEN,greater,1,680300,Greater Mark of Korth’azz,,"Greater Mark of Korth’azz / 40 yd range / Instant / Mark nearby party and raid members with the power of Korth'azz, increasing their Strength by 77 and Fire Resistance by 60 for 30 min. / ID 680300",pasted-text.txt
stamina,enduringShout,BARBARIAN,greater,1,680302,Enduring Shout,Rank 1,"Enduring Shout / 19 Energy / 40 yd range / Instant / Roar with enduring fury, increasing the Stamina of nearby allies by 20 for 30 min. / ID 680302",pasted-text.txt
stamina,enduringShout,BARBARIAN,greater,2,681439,Enduring Shout,Rank 2,"Enduring Shout / 19 Energy / 40 yd range / Instant / Roar with enduring fury, increasing the Stamina of nearby allies by 32 for 30 min. / ID 681439",pasted-text.txt
stamina,enduringShout,BARBARIAN,greater,3,681440,Enduring Shout,Rank 3,"Enduring Shout / 19 Energy / 40 yd range / Instant / Roar with enduring fury, increasing the Stamina of nearby allies by 43 for 30 min. / ID 681440",pasted-text.txt
stamina,enduringShout,BARBARIAN,greater,4,681441,Enduring Shout,Rank 4,"Enduring Shout / 19 Energy / 40 yd range / Instant / Roar with enduring fury, increasing the Stamina of nearby allies by 54 for 30 min. / ID 681441",pasted-text.txt
stamina,foulMandate,NECROMANCER,single,1,800199,Foul Mandate,Rank 1,"Foul Mandate / 30 yd range / Instant / Empowers an ally with a dark Mandate, increasing Stamina by 8 for 30 min. / ID 800199",pasted-text.txt
stamina,foulMandate,NECROMANCER,single,2,573295,Foul Mandate,Rank 2,"Foul Mandate / 30 yd range / Instant / Empowers an ally with a dark Mandate, increasing Stamina by 20 for 30 min. / ID 573295",pasted-text.txt
stamina,foulMandate,NECROMANCER,single,3,573296,Foul Mandate,Rank 3,"Foul Mandate / 30 yd range / Instant / Empowers an ally with a dark Mandate, increasing Stamina by 32 for 30 min. / ID 573296",pasted-text.txt
stamina,foulMandate,NECROMANCER,single,4,573297,Foul Mandate,Rank 4,"Foul Mandate / 30 yd range / Instant / Empowers an ally with a dark Mandate, increasing Stamina by 43 for 30 min. / ID 573297",pasted-text.txt
stamina,foulMandate,NECROMANCER,single,5,573298,Foul Mandate,Rank 5,"Foul Mandate / 30 yd range / Instant / Empowers an ally with a dark Mandate, increasing Stamina by 54 for 30 min. / ID 573298",pasted-text.txt
stamina,foulMandate,NECROMANCER,greater,1,680286,Greater Foul Mandate,,"Greater Foul Mandate / 30 yd range / Instant / Empowers raid and party members with a dark Mandate, increasing Stamina by 54 for 30 min. / ID 680286",pasted-text.txt
stamina,riteOfResolve,REAPER,single,1,800198,Rite of Resolve,Rank 1,"Rite of Resolve / 40 yd range / Instant / Perform a resolving rite upon an ally, increasing their Stamina by 4 for 30 min. / ID 800198",pasted-text.txt
stamina,riteOfResolve,REAPER,single,2,803310,Rite of Resolve,Rank 2,"Rite of Resolve / 40 yd range / Instant / Perform a resolving rite upon an ally, increasing their Stamina by 8 for 30 min. / ID 803310",pasted-text.txt
stamina,riteOfResolve,REAPER,single,3,803311,Rite of Resolve,Rank 3,"Rite of Resolve / 40 yd range / Instant / Perform a resolving rite upon an ally, increasing their Stamina by 20 for 30 min. / ID 803311",pasted-text.txt
stamina,riteOfResolve,REAPER,single,4,803312,Rite of Resolve,Rank 4,"Rite of Resolve / 40 yd range / Instant / Perform a resolving rite upon an ally, increasing their Stamina by 32 for 30 min. / ID 803312",pasted-text.txt
stamina,riteOfResolve,REAPER,single,5,803313,Rite of Resolve,Rank 5,"Rite of Resolve / 40 yd range / Instant / Perform a resolving rite upon an ally, increasing their Stamina by 43 for 30 min. / ID 803313",pasted-text.txt
stamina,riteOfResolve,REAPER,single,6,803314,Rite of Resolve,Rank 6,"Rite of Resolve / 40 yd range / Instant / Perform a resolving rite upon an ally, increasing their Stamina by 54 for 30 min. / ID 803314",pasted-text.txt
stamina,riteOfResolve,REAPER,greater,1,680298,Greater Rite of Resolve,,"Greater Rite of Resolve / 30 yd range / Instant / Perform a resolving rite upon all allies, increasing their Stamina by 54 for 30 min. / ID 680298",pasted-text.txt
stamina,markOfRivendare,FLESHWARDEN,single,1,803667,Mark of Rivendare,Rank 1,Mark of Rivendare / 40 yd range / Instant / Mark an ally with the guile of Rivendare increasing their Stamina by 32 and Frost Resistance by 25 for 30 min. / ID 803667,pasted-text.txt
stamina,markOfRivendare,FLESHWARDEN,single,2,803668,Mark of Rivendare,Rank 2,Mark of Rivendare / 40 yd range / Instant / Mark an ally with the guile of Rivendare increasing their Stamina by 43 and Frost Resistance by 35 for 30 min. / ID 803668,pasted-text.txt
stamina,markOfRivendare,FLESHWARDEN,single,3,803669,Mark of Rivendare,Rank 3,Mark of Rivendare / 40 yd range / Instant / Mark an ally with the guile of Rivendare increasing their Stamina by 43 and Frost Resistance by 45 for 30 min. / ID 803669,pasted-text.txt
stamina,markOfRivendare,FLESHWARDEN,single,4,803670,Mark of Rivendare,Rank 4,Mark of Rivendare / 40 yd range / Instant / Mark an ally with the guile of Rivendare increasing their Stamina by 54 and Frost Resistance by 60 for 30 min. / ID 803670,pasted-text.txt
stamina,markOfRivendare,FLESHWARDEN,greater,1,803730,Greater Mark of Rivendare,,Greater Mark of Rivendare / 40 yd range / Instant / Mark nearby party and raid members with the guile of Rivendare increasing their Stamina by 54 and Frost Resistance by 60 for 30 min. / ID 803730,pasted-text.txt
stamina,sanguinaryOffering,SONOFARUGAL,single,1,706630,Sanguinary Offering,Rank 1,"Sanguinary Offering / 40 yd range / Instant / Enact a sanguinary ritual with an ally, increasing their Stamina by 8. Lasts 30 min. / ID 706630",pasted-text.txt
stamina,sanguinaryOffering,SONOFARUGAL,single,2,707336,Sanguinary Offering,Rank 2,"Sanguinary Offering / 40 yd range / Instant / Enact a sanguinary ritual with an ally, increasing their Stamina by 20. Lasts 30 min. / ID 707336",pasted-text.txt
stamina,sanguinaryOffering,SONOFARUGAL,single,3,707337,Sanguinary Offering,Rank 3,"Sanguinary Offering / 40 yd range / Instant / Enact a sanguinary ritual with an ally, increasing their Stamina by 32. Lasts 30 min. / ID 707337",pasted-text.txt
stamina,sanguinaryOffering,SONOFARUGAL,single,4,707338,Sanguinary Offering,Rank 4,"Sanguinary Offering / 40 yd range / Instant / Enact a sanguinary ritual with an ally, increasing their Stamina by 43. Lasts 30 min. / ID 707338",pasted-text.txt
stamina,sanguinaryOffering,SONOFARUGAL,single,5,707339,Sanguinary Offering,Rank 5,"Sanguinary Offering / 40 yd range / Instant / Enact a sanguinary ritual with an ally, increasing their Stamina by 54. Lasts 30 min. / ID 707339",pasted-text.txt
stamina,sanguinaryOffering,SONOFARUGAL,single,6,707340,Sanguinary Offering,Rank 6,"Sanguinary Offering / 40 yd range / Instant / Enact a sanguinary ritual with an ally, increasing their Stamina by 79. Lasts 30 min. / ID 707340",pasted-text.txt
stamina,sanguinaryOffering,SONOFARUGAL,greater,1,680299,Greater Sanguinary Offering,,"Greater Sanguinary Offering / Instant / Establish a sanguine pact with all nearby allies, increasing their Stamina by 54. Lasts 30 min. / ID 680299",pasted-text.txt
agility,brutalShout,BARBARIAN,greater,1,300857,Brutal Shout,Rank 1,"Brutal Shout / 19 Energy / 40 yd range / Instant / Roar with barbaric fury, increasing the Agilty of nearby party and raid members by 4 for 30 min. / ID 300857",pasted-text.txt
agility,brutalShout,BARBARIAN,greater,2,300882,Brutal Shout,Rank 2,"Brutal Shout / 19 Energy / 40 yd range / Instant / Roar with barbaric fury, increasing the Agilty of nearby party and raid members by 8 for 30 min. / ID 300882",pasted-text.txt
agility,brutalShout,BARBARIAN,greater,3,300883,Brutal Shout,Rank 3,"Brutal Shout / 19 Energy / 40 yd range / Instant / Roar with barbaric fury, increasing the Agilty of nearby party and raid members by 20 for 30 min. / ID 300883",pasted-text.txt
agility,brutalShout,BARBARIAN,greater,4,300884,Brutal Shout,Rank 4,"Brutal Shout / 19 Energy / 40 yd range / Instant / Roar with barbaric fury, increasing the Agilty of nearby party and raid members by 36 for 30 min. / ID 300884",pasted-text.txt
agility,brutalShout,BARBARIAN,greater,5,300885,Brutal Shout,Rank 5,"Brutal Shout / 19 Energy / 40 yd range / Instant / Roar with barbaric fury, increasing the Agilty of nearby party and raid members by 54 for 30 min. / ID 300885",pasted-text.txt
agility,brutalShout,BARBARIAN,greater,6,300886,Brutal Shout,Rank 6,"Brutal Shout / 19 Energy / 40 yd range / Instant / Roar with barbaric fury, increasing the Agilty of nearby party and raid members by 77 for 30 min. / ID 300886",pasted-text.txt
agility,brutalShout,BARBARIAN,greater,7,300887,Brutal Shout,Rank 7,"Brutal Shout / 19 Energy / 40 yd range / Instant / Roar with barbaric fury, increasing the Agilty of nearby party and raid members by 86 for 30 min. / ID 300887",pasted-text.txt
agility,illidariIntuition,DEMONHUNTER,single,1,800212,Illidari Intuition,Rank 1,"Illidari Intuition / 14 Energy / 40 yd range / Instant / Empowers an ally with demonic energy, increasing their Agility by 20. Lasts 30 min. / ID 800212",pasted-text.txt
agility,illidariIntuition,DEMONHUNTER,single,2,501326,Illidari Intuition,Rank 2,"Illidari Intuition / 14 Energy / 40 yd range / Instant / Empowers an ally with demonic energy, increasing their Agility by 28. Lasts 30 min. / ID 501326",pasted-text.txt
agility,illidariIntuition,DEMONHUNTER,single,3,501327,Illidari Intuition,Rank 3,"Illidari Intuition / 14 Energy / 40 yd range / Instant / Empowers an ally with demonic energy, increasing their Agility by 36. Lasts 30 min. / ID 501327",pasted-text.txt
agility,illidariIntuition,DEMONHUNTER,single,4,501328,Illidari Intuition,Rank 4,"Illidari Intuition / 14 Energy / 40 yd range / Instant / Empowers an ally with demonic energy, increasing their Agility by 61. Lasts 30 min. / ID 501328",pasted-text.txt
agility,illidariIntuition,DEMONHUNTER,single,5,501329,Illidari Intuition,Rank 5,"Illidari Intuition / 14 Energy / 40 yd range / Instant / Empowers an ally with demonic energy, increasing their Agility by 77. Lasts 30 min. / ID 501329",pasted-text.txt
agility,illidariIntuition,DEMONHUNTER,greater,1,680308,Greater Illidari Intuition,,"Greater Illidari Intuition / 40 yd range / Instant / Empowers party and raid members with demonic energy, increasing their Agility by 77. Lasts 30 min. / ID 680308",pasted-text.txt
agility,etchingOfTheDextrous,SPIRITMAGE,single,1,561237,Etching of the Dextrous,Rank 1,"Etching of the Dextrous / 40 yd range / Instant / Enhance an ally, increasing their Agility by 10. Lasts 30 min. / ID 561237",pasted-text.txt
agility,etchingOfTheDextrous,SPIRITMAGE,single,2,561238,Etching of the Dextrous,Rank 2,"Etching of the Dextrous / 40 yd range / Instant / Enhance an ally, increasing their Agility by 20. Lasts 30 min. / ID 561238",pasted-text.txt
agility,etchingOfTheDextrous,SPIRITMAGE,single,3,561239,Etching of the Dextrous,Rank 3,"Etching of the Dextrous / 40 yd range / Instant / Enhance an ally, increasing their Agility by 36. Lasts 30 min. / ID 561239",pasted-text.txt
agility,etchingOfTheDextrous,SPIRITMAGE,single,4,561240,Etching of the Dextrous,Rank 4,"Etching of the Dextrous / 40 yd range / Instant / Enhance an ally, increasing their Agility by 77. Lasts 30 min. / ID 561240",pasted-text.txt
agility,etchingOfTheDextrous,SPIRITMAGE,greater,1,561241,Greater Etching of the Dextrous,,"Greater Etching of the Dextrous / 40 yd range / Instant / Enhance all party and raid members, increasing their Agility by 77. Lasts 30 min. / ID 561241",pasted-text.txt
agility,giftOfZeal,MONK,single,1,706634,Gift of Zeal,Rank 1,"Gift of Zeal / 40 yd range / Instant / Places a Gift on a friendly target, increasing Agility by 3 for 30 min. / ID 706634",pasted-text.txt
agility,giftOfZeal,MONK,single,2,300916,Gift of Zeal,Rank 2,"Gift of Zeal / 40 yd range / Instant / Places a Gift on a friendly target, increasing Agility by 8 for 30 min. / ID 300916",pasted-text.txt
agility,giftOfZeal,MONK,single,3,300917,Gift of Zeal,Rank 3,"Gift of Zeal / 40 yd range / Instant / Places a Gift on a friendly target, increasing Agility by 20 for 30 min. / ID 300917",pasted-text.txt
agility,giftOfZeal,MONK,single,4,300918,Gift of Zeal,Rank 4,"Gift of Zeal / 40 yd range / Instant / Places a Gift on a friendly target, increasing Agility by 36 for 30 min. / ID 300918",pasted-text.txt
agility,giftOfZeal,MONK,single,5,300919,Gift of Zeal,Rank 5,"Gift of Zeal / 40 yd range / Instant / Places a Gift on a friendly target, increasing Agility by 54 for 30 min. / ID 300919",pasted-text.txt
agility,giftOfZeal,MONK,single,6,300923,Gift of Zeal,Rank 6,"Gift of Zeal / 40 yd range / Instant / Places a Gift on a friendly target, increasing Agility by 77 for 30 min. / ID 300923",pasted-text.txt
agility,giftOfZeal,MONK,single,7,300924,Gift of Zeal,Rank 7,"Gift of Zeal / 40 yd range / Instant / Places a Gift on a friendly target, increasing Agility by 86 for 30 min. / ID 300924",pasted-text.txt
agility,giftOfZeal,MONK,greater,1,680306,Greater Gift of Zeal,,"Greater Gift of Zeal / 30 yd range / Instant / Places an Oath on all raid and party members, increasing Agility by 77 for 30 min. / ID 680306",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,1,706741,Inquisitor's Edict,Rank 1,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 3. / ID 706741",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,2,707351,Inquisitor's Edict,Rank 2,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 10. / ID 707351",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,3,707352,Inquisitor's Edict,Rank 3,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 20. / ID 707352",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,4,707353,Inquisitor's Edict,Rank 4,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 36. / ID 707353",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,5,707354,Inquisitor's Edict,Rank 5,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 61. / ID 707354",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,6,707355,Inquisitor's Edict,Rank 6,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 77. / ID 707355",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,7,707683,Inquisitor's Edict,Rank 7,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 2. / ID 707683",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,8,707678,Inquisitor's Edict,Rank 7,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 86. / ID 707678",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,9,707679,Inquisitor's Edict,Rank 8,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 2. / ID 707679",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,10,707680,Inquisitor's Edict,Rank 9,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 2. / ID 707680",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,11,707681,Inquisitor's Edict,Rank 10,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 2. / ID 707681",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,single,12,707682,Inquisitor's Edict,Rank 11,"Inquisitor's Edict / 40 yd range / Instant / Convince your ally to make a deal with darkness, increasing Agility by 2. / ID 707682",pasted-text.txt
agility,inquisitorsEdict,WITCHHUNTER,greater,1,680303,Greater Inquisitor's Edict,,"Greater Inquisitor's Edict / 30 yd range / Instant / Declare a knight's edict to all party and raid members, increasing Agility by 77. / ID 680303",pasted-text.txt
agility,spiderPheromones,PROPHET,single,1,803177,Spider Pheromones,Rank 1,"Spider Pheromones / 40 yd range / Instant / Inject an ally with spider pheromones, increasing their Agility by 6. Lasts 30 min. / ID 803177",pasted-text.txt
agility,spiderPheromones,PROPHET,single,2,803306,Spider Pheromones,Rank 2,"Spider Pheromones / 40 yd range / Instant / Inject an ally with spider pheromones, increasing their Agility by 20. Lasts 30 min. / ID 803306",pasted-text.txt
agility,spiderPheromones,PROPHET,single,3,803307,Spider Pheromones,Rank 3,"Spider Pheromones / 40 yd range / Instant / Inject an ally with spider pheromones, increasing their Agility by 28. Lasts 30 min. / ID 803307",pasted-text.txt
agility,spiderPheromones,PROPHET,single,4,803308,Spider Pheromones,Rank 4,"Spider Pheromones / 40 yd range / Instant / Inject an ally with spider pheromones, increasing their Agility by 36. Lasts 30 min. / ID 803308",pasted-text.txt
agility,spiderPheromones,PROPHET,single,5,803309,Spider Pheromones,Rank 5,"Spider Pheromones / 40 yd range / Instant / Inject an ally with spider pheromones, increasing their Agility by 61. Lasts 30 min. / ID 803309",pasted-text.txt
agility,spiderPheromones,PROPHET,single,6,803650,Spider Pheromones,Rank 6,"Spider Pheromones / 40 yd range / Instant / Inject an ally with spider pheromones, increasing their Agility by 77. Lasts 30 min. / ID 803650",pasted-text.txt
agility,spiderPheromones,PROPHET,greater,1,680312,Greater Spider Pheromones,,"Greater Spider Pheromones / 40 yd range / Instant / Give your allies spider pheromones, increasing their Agility by 77. Lasts 30 min. Can be used in any form. / ID 680312",pasted-text.txt
intellect,nozdormusWisdom,CHRONOMANCER,single,1,572391,Nozdormu's Wisdom,Rank 1,"Nozdormu's Wisdom / 40 yd range / Instant / Share Nozdormu's Wisdom with an allied player, increasing their Intellect by 2 for 30 min. Only one Wisdom per Chronomancer can be active. / ID 572391",pasted-text.txt
intellect,nozdormusWisdom,CHRONOMANCER,single,2,572392,Nozdormu's Wisdom,Rank 2,"Nozdormu's Wisdom / 40 yd range / Instant / Share Nozdormu's Wisdom with an allied player, increasing their Intellect by 7 for 30 min. Only one Wisdom per Chronomancer can be active. / ID 572392",pasted-text.txt
intellect,nozdormusWisdom,CHRONOMANCER,single,3,572393,Nozdormu's Wisdom,Rank 3,"Nozdormu's Wisdom / 40 yd range / Instant / Share Nozdormu's Wisdom with an allied player, increasing their Intellect by 15 for 30 min. Only one Wisdom per Chronomancer can be active. / ID 572393",pasted-text.txt
intellect,nozdormusWisdom,CHRONOMANCER,single,4,572394,Nozdormu's Wisdom,Rank 4,"Nozdormu's Wisdom / 40 yd range / Instant / Share Nozdormu's Wisdom with an allied player, increasing their Intellect by 25 for 30 min. Only one Wisdom per Chronomancer can be active. / ID 572394",pasted-text.txt
intellect,nozdormusWisdom,CHRONOMANCER,single,5,572395,Nozdormu's Wisdom,Rank 5,"Nozdormu's Wisdom / 40 yd range / Instant / Share Nozdormu's Wisdom with an allied player, increasing their Intellect by 31 for 30 min. Only one Wisdom per Chronomancer can be active. / ID 572395",pasted-text.txt
intellect,nozdormusWisdom,CHRONOMANCER,greater,1,572396,Greater Nozdormu's Wisdom,,"Greater Nozdormu's Wisdom / 40 yd range / Instant / Share Nozdormu's Wisdom with all party and raid members, increasing their Intellect by 31 for 30 min. / ID 572396",pasted-text.txt
intellect,sealOfAlysrazor,PYROMANCER,single,1,800196,Seal of Alysrazor,Rank 1,"Seal of Alysrazor / 40 yd range / Instant / Empowers an ally with the power of the eternal phoenix, increasing their Intellect by 2 for 30 min. / ID 800196",pasted-text.txt
intellect,sealOfAlysrazor,PYROMANCER,single,2,802819,Seal of Alysrazor,Rank 2,"Seal of Alysrazor / 40 yd range / Instant / Empowers an ally with the power of the eternal phoenix, increasing their Intellect by 7 for 30 min. / ID 802819",pasted-text.txt
intellect,sealOfAlysrazor,PYROMANCER,single,3,802820,Seal of Alysrazor,Rank 3,"Seal of Alysrazor / 40 yd range / Instant / Empowers an ally with the power of the eternal phoenix, increasing their Intellect by 15 for 30 min. / ID 802820",pasted-text.txt
intellect,sealOfAlysrazor,PYROMANCER,single,4,802821,Seal of Alysrazor,Rank 4,"Seal of Alysrazor / 40 yd range / Instant / Empowers an ally with the power of the eternal phoenix, increasing their Intellect by 25 for 30 min. / ID 802821",pasted-text.txt
intellect,sealOfAlysrazor,PYROMANCER,single,5,802822,Seal of Alysrazor,Rank 5,"Seal of Alysrazor / 40 yd range / Instant / Empowers an ally with the power of the eternal phoenix, increasing their Intellect by 31 for 30 min. / ID 802822",pasted-text.txt
intellect,sealOfAlysrazor,PYROMANCER,greater,1,570170,Greater Seal of Alysrazor,,"Greater Seal of Alysrazor / 30 yd range / Instant / Empowers you and nearby allies with the power of the eternal phoenix, increasing their Intellect by 31 for 30 min. / ID 570170",pasted-text.txt
intellect,celestialMind,STARCALLER,single,1,300255,Celestial Mind,Rank 1,"Celestial Mind / 40 yd range / Instant / Enhance an ally with a blessing from Elune, increasing their Intellect by 3 for 30 min. / ID 300255",pasted-text.txt
intellect,celestialMind,STARCALLER,single,2,301222,Celestial Mind,Rank 2,"Celestial Mind / 40 yd range / Instant / Enhance an ally with a blessing from Elune, increasing their Intellect by 7 for 30 min. / ID 301222",pasted-text.txt
intellect,celestialMind,STARCALLER,single,3,301223,Celestial Mind,Rank 3,"Celestial Mind / 40 yd range / Instant / Enhance an ally with a blessing from Elune, increasing their Intellect by 15 for 30 min. / ID 301223",pasted-text.txt
intellect,celestialMind,STARCALLER,single,4,301224,Celestial Mind,Rank 4,"Celestial Mind / 40 yd range / Instant / Enhance an ally with a blessing from Elune, increasing their Intellect by 22 for 30 min. / ID 301224",pasted-text.txt
intellect,celestialMind,STARCALLER,single,5,301225,Celestial Mind,Rank 5,"Celestial Mind / 40 yd range / Instant / Enhance an ally with a blessing from Elune, increasing their Intellect by 31 for 30 min. / ID 301225",pasted-text.txt
intellect,celestialMind,STARCALLER,greater,1,680301,Greater Celestial Mind,,"Greater Celestial Mind / Instant / Empowers your allies with galactic vigor, increasing their Intellect by 31 for 30 min. / ID 680301",pasted-text.txt
intellect,callOfTheStorm,STORMBRINGER,single,1,578311,Call of the Storm,Rank 1,"Call of the Storm / 40 yd range / Instant / Call upon the power of the storm to empower an allied player, increasing their Intellect by 3 for 30 min. Hold SHIFT for more information / ID 578311",pasted-text.txt
intellect,callOfTheStorm,STORMBRINGER,single,2,578312,Call of the Storm,Rank 2,"Call of the Storm / 40 yd range / Instant / Call upon the power of the storm to empower an allied player, increasing their Intellect by 7 for 30 min. Hold SHIFT for more information / ID 578312",pasted-text.txt
intellect,callOfTheStorm,STORMBRINGER,single,3,578313,Call of the Storm,Rank 3,"Call of the Storm / 40 yd range / Instant / Call upon the power of the storm to empower an allied player, increasing their Intellect by 15 for 30 min. Hold SHIFT for more information / ID 578313",pasted-text.txt
intellect,callOfTheStorm,STORMBRINGER,single,4,578314,Call of the Storm,Rank 4,"Call of the Storm / 40 yd range / Instant / Call upon the power of the storm to empower an allied player, increasing their Intellect by 22 for 30 min. Hold SHIFT for more information / ID 578314",pasted-text.txt
intellect,callOfTheStorm,STORMBRINGER,single,5,578315,Call of the Storm,Rank 5,"Call of the Storm / 40 yd range / Instant / Call upon the power of the storm to empower an allied player, increasing their Intellect by 31 for 30 min. Hold SHIFT for more information / ID 578315",pasted-text.txt
intellect,callOfTheStorm,STORMBRINGER,greater,1,578316,Greater Call of the Storm,,"Greater Call of the Storm / 40 yd range / Instant / Call upon the power of the storm to empower raid and party members, increasing their Intellect by 31 for 30 min. / ID 578316",pasted-text.txt
spirit,chromiesWisdom,CHRONOMANCER,single,1,801523,Chromie's Wisdom,Rank 1,"Chromie's Wisdom / 30 yd range / Instant / Share Chromie's wisdom with an allied player, increasing their Spirit by 10. Lasts 30 min. Only one Wisdom per Chronomancer can be active. / ID 801523",pasted-text.txt
