category,family,provider,form,rank_index,spell_id,resolved_name,strength,agility,stamina,intellect,spirit,attack_power,spell_power,armor,all_stats_flat,all_stats_percent,mana_per_5,resource_cost_reduction_percent,arcane_resistance,fire_resistance,frost_resistance,nature_resistance,shadow_resistance,effect_summary,parse_status,verification_status,notes
stamina,enduringShout,BARBARIAN,greater,3,681440,Enduring Shout,,,43,,,,,,,,,,,,,,,Stamina 43,parsed,tooltip_unverified,
stamina,enduringShout,BARBARIAN,greater,4,681441,Enduring Shout,,,54,,,,,,,,,,,,,,,Stamina 54,parsed,tooltip_unverified,
stamina,foulMandate,NECROMANCER,single,1,800199,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,foulMandate,NECROMANCER,single,2,573295,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,foulMandate,NECROMANCER,single,3,573296,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,foulMandate,NECROMANCER,single,4,573297,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,foulMandate,NECROMANCER,single,5,573298,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,foulMandate,NECROMANCER,greater,1,680286,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,riteOfResolve,REAPER,single,1,800198,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,riteOfResolve,REAPER,single,2,803310,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,riteOfResolve,REAPER,single,3,803311,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,riteOfResolve,REAPER,single,4,803312,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,riteOfResolve,REAPER,single,5,803313,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,riteOfResolve,REAPER,single,6,803314,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,riteOfResolve,REAPER,greater,1,680298,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,markOfRivendare,FLESHWARDEN,single,1,803667,Mark of Rivendare,,,32,,,,,,,,,,,,25,,,Stamina 32; Frost Resist 25,parsed,tooltip_unverified,
stamina,markOfRivendare,FLESHWARDEN,single,2,803668,Mark of Rivendare,,,43,,,,,,,,,,,,35,,,Stamina 43; Frost Resist 35,parsed,tooltip_unverified,
stamina,markOfRivendare,FLESHWARDEN,single,3,803669,Mark of Rivendare,,,43,,,,,,,,,,,,45,,,Stamina 43; Frost Resist 45,parsed,tooltip_unverified,
stamina,markOfRivendare,FLESHWARDEN,single,4,803670,Mark of Rivendare,,,54,,,,,,,,,,,,60,,,Stamina 54; Frost Resist 60,parsed,tooltip_unverified,
stamina,markOfRivendare,FLESHWARDEN,greater,1,803730,Greater Mark of Rivendare,,,54,,,,,,,,,,,,60,,,Stamina 54; Frost Resist 60,parsed,tooltip_unverified,
stamina,sanguinaryOffering,SONOFARUGAL,single,1,706630,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,sanguinaryOffering,SONOFARUGAL,single,2,707336,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,sanguinaryOffering,SONOFARUGAL,single,3,707337,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,sanguinaryOffering,SONOFARUGAL,single,4,707338,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,sanguinaryOffering,SONOFARUGAL,single,5,707339,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,sanguinaryOffering,SONOFARUGAL,single,6,707340,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
stamina,sanguinaryOffering,SONOFARUGAL,greater,1,680299,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,brutalShout,BARBARIAN,greater,1,300857,Brutal Shout,,4,,,,,,,,,,,,,,,,Agility 4,parsed,tooltip_unverified,
agility,brutalShout,BARBARIAN,greater,2,300882,Brutal Shout,,8,,,,,,,,,,,,,,,,Agility 8,parsed,tooltip_unverified,
agility,brutalShout,BARBARIAN,greater,3,300883,Brutal Shout,,20,,,,,,,,,,,,,,,,Agility 20,parsed,tooltip_unverified,
agility,brutalShout,BARBARIAN,greater,4,300884,Brutal Shout,,36,,,,,,,,,,,,,,,,Agility 36,parsed,tooltip_unverified,
agility,brutalShout,BARBARIAN,greater,5,300885,Brutal Shout,,54,,,,,,,,,,,,,,,,Agility 54,parsed,tooltip_unverified,
agility,brutalShout,BARBARIAN,greater,6,300886,Brutal Shout,,77,,,,,,,,,,,,,,,,Agility 77,parsed,tooltip_unverified,
agility,brutalShout,BARBARIAN,greater,7,300887,Brutal Shout,,86,,,,,,,,,,,,,,,,Agility 86,parsed,tooltip_unverified,
agility,illidariIntuition,DEMONHUNTER,single,1,800212,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,2,501326,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,3,501327,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,4,501328,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,5,501329,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,6,501330,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,7,501331,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,8,501332,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,9,501333,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,10,501334,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,11,501335,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,single,12,501336,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,illidariIntuition,DEMONHUNTER,greater,1,680308,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,etchingOfTheDextrous,SPIRITMAGE,single,1,561237,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,etchingOfTheDextrous,SPIRITMAGE,single,2,561238,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,etchingOfTheDextrous,SPIRITMAGE,single,3,561239,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,etchingOfTheDextrous,SPIRITMAGE,single,4,561240,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,etchingOfTheDextrous,SPIRITMAGE,greater,1,561241,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,giftOfZeal,MONK,single,1,706634,Gift of Zeal,,3,,,,,,,,,,,,,,,,Agility 3,parsed,tooltip_unverified,
agility,giftOfZeal,MONK,single,2,300916,Gift of Zeal,,8,,,,,,,,,,,,,,,,Agility 8,parsed,tooltip_unverified,
agility,giftOfZeal,MONK,single,3,300917,Gift of Zeal,,20,,,,,,,,,,,,,,,,Agility 20,parsed,tooltip_unverified,
agility,giftOfZeal,MONK,single,4,300918,Gift of Zeal,,36,,,,,,,,,,,,,,,,Agility 36,parsed,tooltip_unverified,
agility,giftOfZeal,MONK,single,5,300919,Gift of Zeal,,54,,,,,,,,,,,,,,,,Agility 54,parsed,tooltip_unverified,
agility,giftOfZeal,MONK,single,6,300923,Gift of Zeal,,77,,,,,,,,,,,,,,,,Agility 77,parsed,tooltip_unverified,
agility,giftOfZeal,MONK,single,7,300924,Gift of Zeal,,86,,,,,,,,,,,,,,,,Agility 86,parsed,tooltip_unverified,
agility,giftOfZeal,MONK,greater,1,680306,Greater Gift of Zeal,,77,,,,,,,,,,,,,,,,Agility 77,parsed,tooltip_unverified,
agility,inquisitorsEdict,WITCHHUNTER,single,1,706741,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,2,707351,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,3,707352,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,4,707353,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,5,707354,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,6,707355,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,7,707683,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,8,707678,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,9,707679,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,10,707680,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,11,707681,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,single,12,707682,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,inquisitorsEdict,WITCHHUNTER,greater,1,680303,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
agility,spiderPheromones,PROPHET,single,1,803177,Spider Pheromones,,6,,,,,,,,,,,,,,,,Agility 6,parsed,tooltip_unverified,
agility,spiderPheromones,PROPHET,single,2,803306,Spider Pheromones,,20,,,,,,,,,,,,,,,,Agility 20,parsed,tooltip_unverified,
agility,spiderPheromones,PROPHET,single,3,803307,Spider Pheromones,,28,,,,,,,,,,,,,,,,Agility 28,parsed,tooltip_unverified,
agility,spiderPheromones,PROPHET,single,4,803308,Spider Pheromones,,36,,,,,,,,,,,,,,,,Agility 36,parsed,tooltip_unverified,
agility,spiderPheromones,PROPHET,single,5,803309,Spider Pheromones,,61,,,,,,,,,,,,,,,,Agility 61,parsed,tooltip_unverified,
agility,spiderPheromones,PROPHET,single,6,803650,Spider Pheromones,,77,,,,,,,,,,,,,,,,Agility 77,parsed,tooltip_unverified,
agility,spiderPheromones,PROPHET,greater,1,680312,Greater Spider Pheromones,,77,,,,,,,,,,,,,,,,Agility 77,parsed,tooltip_unverified,
intellect,nozdormusWisdom,CHRONOMANCER,single,1,572391,Nozdormu's Wisdom,,,,2,,,,,,,,,,,,,,Intellect 2,parsed,tooltip_unverified,
intellect,nozdormusWisdom,CHRONOMANCER,single,2,572392,Nozdormu's Wisdom,,,,7,,,,,,,,,,,,,,Intellect 7,parsed,tooltip_unverified,
intellect,nozdormusWisdom,CHRONOMANCER,single,3,572393,Nozdormu's Wisdom,,,,15,,,,,,,,,,,,,,Intellect 15,parsed,tooltip_unverified,
intellect,nozdormusWisdom,CHRONOMANCER,single,4,572394,Nozdormu's Wisdom,,,,25,,,,,,,,,,,,,,Intellect 25,parsed,tooltip_unverified,
intellect,nozdormusWisdom,CHRONOMANCER,single,5,572395,Nozdormu's Wisdom,,,,31,,,,,,,,,,,,,,Intellect 31,parsed,tooltip_unverified,
intellect,nozdormusWisdom,CHRONOMANCER,greater,1,572396,Greater Nozdormu's Wisdom,,,,31,,,,,,,,,,,,,,Intellect 31,parsed,tooltip_unverified,
intellect,sealOfAlysrazor,PYROMANCER,single,1,800196,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,sealOfAlysrazor,PYROMANCER,single,2,802819,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,sealOfAlysrazor,PYROMANCER,single,3,802820,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,sealOfAlysrazor,PYROMANCER,single,4,802821,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,sealOfAlysrazor,PYROMANCER,single,5,802822,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,sealOfAlysrazor,PYROMANCER,greater,1,570170,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,celestialMind,STARCALLER,single,1,300255,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,celestialMind,STARCALLER,single,2,301222,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,celestialMind,STARCALLER,single,3,301223,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,celestialMind,STARCALLER,single,4,301224,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,celestialMind,STARCALLER,single,5,301225,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,celestialMind,STARCALLER,greater,1,680301,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,callOfTheStorm,STORMBRINGER,single,1,578311,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,callOfTheStorm,STORMBRINGER,single,2,578312,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,callOfTheStorm,STORMBRINGER,single,3,578313,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,callOfTheStorm,STORMBRINGER,single,4,578314,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,callOfTheStorm,STORMBRINGER,single,5,578315,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
intellect,callOfTheStorm,STORMBRINGER,greater,1,578316,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spirit,chromiesWisdom,CHRONOMANCER,single,1,801523,Chromie's Wisdom,,,,,10,,,,,,,,,,,,,Spirit 10,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,single,2,802827,Chromie's Wisdom,,,,,16,,,,,,,,,,,,,Spirit 16,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,single,3,802828,Chromie's Wisdom,,,,,23,,,,,,,,,,,,,Spirit 23,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,single,4,802829,Chromie's Wisdom,,,,,40,,,,,,,,,,,,,Spirit 40,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,single,5,802830,Chromie's Wisdom,,,,,50,,,,,,,,,,,,,Spirit 50,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,single,6,802831,Chromie's Wisdom,,,,,80,,,,,,,,,,,,,Spirit 80,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,single,7,802832,Chromie's Wisdom,,,,,80,,,,,,,,,,,,,Spirit 80,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,single,8,802833,Chromie's Wisdom,,,,,80,,,,,,,,,,,,,Spirit 80,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,single,9,802834,Chromie's Wisdom,,,,,80,,,,,,,,,,,,,Spirit 80,parsed,tooltip_unverified,
spirit,chromiesWisdom,CHRONOMANCER,greater,1,680307,Greater Chromie's Wisdom,,,,,40,,,,,,,,,,,,,Spirit 40,parsed,tooltip_unverified,
spirit,spiritWuju,WITCHDOCTOR,single,1,560294,Spirit Wuju,,,,,3,,,,,,,,,,,,,Spirit 3,parsed,tooltip_unverified,
spirit,spiritWuju,WITCHDOCTOR,single,2,561140,Spirit Wuju,,,,,17,,,,,,,,,,,,,Spirit 17,parsed,tooltip_unverified,
spirit,spiritWuju,WITCHDOCTOR,single,3,561141,Spirit Wuju,,,,,23,,,,,,,,,,,,,Spirit 23,parsed,tooltip_unverified,
spirit,spiritWuju,WITCHDOCTOR,single,4,561142,Spirit Wuju,,,,,40,,,,,,,,,,,,,Spirit 40,parsed,tooltip_unverified,
spirit,spiritWuju,WITCHDOCTOR,single,5,561143,Spirit Wuju,,,,,50,,,,,,,,,,,,,Spirit 50,parsed,tooltip_unverified,
spirit,spiritWuju,WITCHDOCTOR,greater,1,680872,Greater Spirit Wuju,,,,,40,,,,,,,,,,,,,Spirit 40,parsed,tooltip_unverified,
spirit,toxicPheromones,PROPHET,single,1,707689,Toxic Pheromones,,,,,,,28,,,,,,,,,,,SP 28,parsed,tooltip_unverified,
spirit,toxicPheromones,PROPHET,single,2,707690,Toxic Pheromones,,,,,,,37,,,,,,,,,,,SP 37,parsed,tooltip_unverified,
spirit,toxicPheromones,PROPHET,single,3,707691,Toxic Pheromones,,,,,,,49,,,,,,,,,,,SP 49,parsed,tooltip_unverified,
spirit,toxicPheromones,PROPHET,single,4,707692,Toxic Pheromones,,,,,,,62,,,,,,,,,,,SP 62,parsed,tooltip_unverified,
spirit,toxicPheromones,PROPHET,greater,1,712459,Greater Toxic Pheromones,,,,,,,62,,,,,,,,,,,SP 62,parsed,tooltip_unverified,
spirit,bloodsoakedOffering,SONOFARUGAL,single,1,572400,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spirit,bloodsoakedOffering,SONOFARUGAL,single,2,572401,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spirit,bloodsoakedOffering,SONOFARUGAL,single,3,572402,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spirit,bloodsoakedOffering,SONOFARUGAL,single,4,572403,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spirit,bloodsoakedOffering,SONOFARUGAL,greater,1,572404,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,primalInstinct,WILDWALKER,single,1,800197,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,primalInstinct,WILDWALKER,single,2,803315,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,primalInstinct,WILDWALKER,single,3,803316,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,primalInstinct,WILDWALKER,single,4,803317,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,primalInstinct,WILDWALKER,single,5,803318,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,primalInstinct,WILDWALKER,single,6,803319,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,primalInstinct,WILDWALKER,single,7,573349,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,primalInstinct,WILDWALKER,greater,1,680310,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,woodsmansAdaptation,RANGER,single,1,800266,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,woodsmansAdaptation,RANGER,single,2,803320,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,woodsmansAdaptation,RANGER,single,3,803321,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,woodsmansAdaptation,RANGER,single,4,803322,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,woodsmansAdaptation,RANGER,single,5,803323,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,woodsmansAdaptation,RANGER,single,6,803324,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,woodsmansAdaptation,RANGER,single,7,803666,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,woodsmansAdaptation,RANGER,greater,1,680294,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,devotionOfDawn,SUNCLERIC,single,1,572384,Devotion of Dawn,,,,,,35,,,,,,,,,,,,AP 35,parsed,tooltip_unverified,
attackPower,devotionOfDawn,SUNCLERIC,single,2,572385,Devotion of Dawn,,,,,,55,,,,,,,,,,,,AP 55,parsed,tooltip_unverified,
attackPower,devotionOfDawn,SUNCLERIC,single,3,572386,Devotion of Dawn,,,,,,85,,,,,,,,,,,,AP 85,parsed,tooltip_unverified,
attackPower,devotionOfDawn,SUNCLERIC,single,4,572387,Devotion of Dawn,,,,,,130,,,,,,,,,,,,AP 130,parsed,tooltip_unverified,
attackPower,devotionOfDawn,SUNCLERIC,single,5,572388,Devotion of Dawn,,,,,,185,,,,,,,,,,,,AP 185,parsed,tooltip_unverified,
attackPower,devotionOfDawn,SUNCLERIC,single,6,572389,Devotion of Dawn,,,,,,232,,,,,,,,,,,,AP 232,parsed,tooltip_unverified,
attackPower,devotionOfDawn,SUNCLERIC,greater,1,572390,Greater Devotion of Dawn,,,,,,232,,,,,,,,,,,,AP 232,parsed,tooltip_unverified,
attackPower,powerModule,TINKER,single,1,706742,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerModule,TINKER,single,2,707346,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerModule,TINKER,single,3,707347,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerModule,TINKER,single,4,707348,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerModule,TINKER,single,5,707349,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerModule,TINKER,single,6,707350,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerModule,TINKER,single,7,707688,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerModule,TINKER,greater,1,680315,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerWuju,WITCHDOCTOR,single,1,707671,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerWuju,WITCHDOCTOR,single,2,707672,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerWuju,WITCHDOCTOR,single,3,707673,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerWuju,WITCHDOCTOR,single,4,707674,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerWuju,WITCHDOCTOR,single,5,707675,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerWuju,WITCHDOCTOR,single,6,707676,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerWuju,WITCHDOCTOR,single,7,707677,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,powerWuju,WITCHDOCTOR,greater,1,712458,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,beetlePheromones,PROPHET,single,1,803651,Beetle Pheromones,,,,,,,,105,4,,,,,,,,,Armor 105; All Stats 4,parsed,tooltip_unverified,
attackPower,beetlePheromones,PROPHET,single,2,803652,Beetle Pheromones,,,,,,,,150,6,,,,,,,,,Armor 150; All Stats 6,parsed,tooltip_unverified,
attackPower,beetlePheromones,PROPHET,single,3,803653,Beetle Pheromones,,,,,,,,195,6,,,,,,,,,Armor 195; All Stats 6,parsed,tooltip_unverified,
attackPower,beetlePheromones,PROPHET,single,4,803654,Beetle Pheromones,,,,,,,,240,12,,,,,,,,,Armor 240; All Stats 12,parsed,tooltip_unverified,
attackPower,beetlePheromones,PROPHET,single,5,803655,Beetle Pheromones,,,,,,,,285,12,,,,,,,,,Armor 285; All Stats 12,parsed,tooltip_unverified,
attackPower,beetlePheromones,PROPHET,single,6,803656,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
attackPower,beetlePheromones,PROPHET,greater,1,803657,Greater Beetle Pheromones,,,,,,,,285,12,,,,,,,,,Armor 285; All Stats 12,parsed,tooltip_unverified,
spellPower,whispersOfCthun,CULTIST,single,1,572791,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,whispersOfCthun,CULTIST,single,2,572819,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,whispersOfCthun,CULTIST,single,3,572905,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,whispersOfCthun,CULTIST,greater,1,573067,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,grimMandate,NECROMANCER,single,1,572787,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,grimMandate,NECROMANCER,single,2,572788,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,grimMandate,NECROMANCER,single,3,572789,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,grimMandate,NECROMANCER,greater,1,572790,,,,,,,,,,,,,,,,,,,,missing_tooltip,missing,
spellPower,devotionOfRadiance,SUNCLERIC,single,1,575040,Devotion of Radiance,,,,,,,28,,,,,,,,,,,SP 28,parsed,tooltip_unverified,
spellPower,devotionOfRadiance,SUNCLERIC,single,2,575041,Devotion of Radiance,,,,,,,37,,,,,,,,,,,SP 37,parsed,tooltip_unverified,
